"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Attempted Administrator Privilege Gain","2025-04-02 12:00",2
"Attempted Administrator Privilege Gain","2025-04-03 00:00",2
"Attempted Administrator Privilege Gain","2025-04-03 12:00",1
"Attempted Administrator Privilege Gain","2025-04-04 12:00",4
"Attempted Administrator Privilege Gain","2025-04-05 00:00",3
"Attempted Administrator Privilege Gain","2025-04-05 12:00",4
"Attempted Administrator Privilege Gain","2025-04-06 12:00",16
"Attempted Administrator Privilege Gain","2025-04-07 00:00",66
"Attempted Administrator Privilege Gain","2025-04-07 12:00",287
"Attempted Administrator Privilege Gain","2025-04-08 00:00",2
"Attempted Administrator Privilege Gain","2025-04-08 12:00",4
"Attempted Administrator Privilege Gain","2025-04-09 00:00",2
"Attempted Administrator Privilege Gain","2025-04-09 12:00",2
"Attempted Administrator Privilege Gain","2025-04-10 00:00",1
"Attempted Administrator Privilege Gain","2025-04-10 12:00",3
"Attempted Administrator Privilege Gain","2025-04-11 00:00",2
"Attempted Administrator Privilege Gain","2025-04-11 12:00",1
"Attempted Administrator Privilege Gain","2025-04-12 00:00",1
"Attempted Administrator Privilege Gain","2025-04-12 12:00",1
"Attempted Administrator Privilege Gain","2025-04-13 00:00",6
"Attempted Administrator Privilege Gain","2025-04-13 12:00",4
